pos,Url,Email,Facebook,Youtube,Instagram,Tweeter,Pinterest
1,http://toynk-2.myshopify.com/,help@toynk.com,https://www.facebook.com/ToynkToys/,https://www.youtube.com/channel/UCYbM7_SmqIzkyrF4_Q_-qww,https://instagram.com/toynktoys/,https://twitter.com/toynktoys,https://www.pinterest.com/toynk/
2,https://pjs-games-and-stuff.myshopify.com/,support@pjsgames.com,https://www.facebook.com/pjsgames,undefined,https://instagram.com/pjsgames51/,https://twitter.com/pjsgames,undefined
3,https://fangamer.myshopify.com/,orders@fangamer.com,https://www.facebook.com/Fangamer,undefined,https://instagram.com/fangamernet/,https://twitter.com/fangamer,undefined
4,https://fantastic-book-fairs.myshopify.com/,support@fantasticbookfairs.com,undefined,undefined,undefined,undefined,undefined
5,https://kerrymarshvocaljazz.myshopify.com/,not provided,https://www.facebook.com/vocaljazz,https://www.youtube.com/user/csusvocaljazz,https://instagram.com/kerrymarsh,https://twitter.com/kerrymarsh,undefined
6,https://bricks-and-minifigs-anaheim.myshopify.com/,username@example.com,https://www.facebook.com/bricksminifigsanaheim/,https://www.youtube.com/channel/UCDqVR6Ukoj1LSKTYGGC7_0A?view_as=subscriber,https://instagram.com/bricksminifigsanaheim/,https://twitter.com/brickminifigsocal,undefined
7,https://brick-shack.myshopify.com/,not provided,https://www.facebook.com/brickshackyorkshire,undefined,undefined,undefined,undefined
8,https://kerrymarshvocaljazz.myshopify.com/,not provided,https://www.facebook.com/vocaljazz,https://www.youtube.com/user/csusvocaljazz,https://instagram.com/kerrymarsh,https://twitter.com/kerrymarsh,undefined
9,https://sweets-and-geeks.myshopify.com/,not provided,https://www.facebook.com/Sweets-Geeks-108479117426821,https://www.youtube.com/channel/UCFtKiQsfYfPZh8ku1OQp0Hg,https://instagram.com/sweets_and_geeks/,https://twitter.com/widgets.js,undefined
10,https://unspeakablegaming.myshopify.com/,unspeakablemerch@gmail.com,https://www.facebook.com/UnspeakableClothing/,https://www.youtube.com/channel/UCwIWAbIeu0xI0ReKWOcw3eg/videos,https://instagram.com/unspeakable/,https://twitter.com/UnspeakableGame,undefined
11,https://brick-shack.myshopify.com/,not provided,https://www.facebook.com/brickshackyorkshire,undefined,undefined,undefined,undefined
12,https://brick-shack.myshopify.com/,not provided,https://www.facebook.com/brickshackyorkshire,undefined,undefined,undefined,undefined
13,https://smilecamp.myshopify.com/,not provided,https://www.facebook.com/smilecamp.org,undefined,undefined,https://twitter.com/smilecampinc,undefined
14,https://thejustwhatyouneedstore.myshopify.com/,not provided,https://www.facebook.com/shopify,https://www.youtube.com/shopify,https://instagram.com/shopify,https://twitter.com/shopify,undefined
15,https://bricksandminifigsjohnscreek.myshopify.com/,johnscreek@bricksandminifigs.com,https://www.facebook.com/tr?id=596469944881072&ev=PageView&noscript=1,undefined,undefined,undefined,undefined
16,https://radartoys.myshopify.com/,not provided,https://www.facebook.com/RadarToys,undefined,https://instagram.com/radartoys,https://twitter.com/RadarToys,https://www.pinterest.com/radartoys
17,https://books2door.myshopify.com/,sales@books2door.com,https://www.facebook.com/books2dooruk/,https://www.youtube.com/channel/UC3snB_9axElUZFFtzlK02Hg,https://instagram.com/books2dooruk/,https://twitter.com/books2dooruk,undefined
18,https://cinch-neighborhood-store.myshopify.com/,not provided,undefined,undefined,https://instagram.com/shopIN.nyc,undefined,undefined
19,https://unspeakablegaming.myshopify.com/,unspeakablemerch@gmail.com,https://www.facebook.com/UnspeakableClothing/,https://www.youtube.com/channel/UCwIWAbIeu0xI0ReKWOcw3eg/videos,https://instagram.com/unspeakable/,https://twitter.com/UnspeakableGame,undefined
20,https://brick-shack.myshopify.com/,not provided,https://www.facebook.com/brickshackyorkshire,undefined,undefined,undefined,undefined
21,https://divine-daisiez.myshopify.com/,divine.daisies@ddaisies.com,undefined,undefined,undefined,undefined,undefined
22,https://st-stephens-books.myshopify.com/,fancybox@3.5.7,https://www.facebook.com/ststephensbooks,https://www.youtube.com/channel/UCPzbBjbIyRaCgPeb_XnnEQA,https://instagram.com/ststephensbooks/,https://twitter.com/ststephensbooks,undefined
23,https://edibleprintsoncake.myshopify.com/,not provided,https://www.facebook.com/edibleprintsoncake,https://www.youtube.com/channel/UC9VosfORGfADfo_4i07WWoQ,https://instagram.com/edibleprintsoncake,https://twitter.com/PrintsOnCake,https://www.pinterest.com/printsoncakes
24,https://party-fair-tigard.myshopify.com/,partyfairtigard@gmail.com,https://www.facebook.com/PartyFairTigard,undefined,https://instagram.com/PartyFairTigard,https://twitter.com/PartyFairTigard,undefined
25,https://asoltys-art-creations.myshopify.com/,not provided,https://www.facebook.com/ASoltysArt,undefined,https://instagram.com/asoltys_art_creations/,undefined,undefined
26,https://newburycomics.myshopify.com/,andrewsmith@newburycomics.com,https://www.facebook.com/newburycomics,undefined,https://instagram.com/newburycomics,https://twitter.com/newburycomics,undefined
27,https://sweetlooks-collection.myshopify.com/,not provided,https://www.facebook.com/dapperxpressions,undefined,https://instagram.com/dapperxpressions,https://twitter.com/d_xpressions,undefined
28,https://sweetlooks-collection.myshopify.com/,not provided,https://www.facebook.com/dapperxpressions,undefined,https://instagram.com/dapperxpressions,https://twitter.com/d_xpressions,undefined
29,https://telabellaponce.myshopify.com/,not provided,https://www.facebook.com/sharer.php?u=https://telabellaponce.myshopify.com,undefined,undefined,https://twitter.com/share?text=TELABELLAPR&amp;url=https://telabellaponce.myshopify.com,undefined
30,https://newburycomics.myshopify.com/,andrewsmith@newburycomics.com,https://www.facebook.com/newburycomics,undefined,https://instagram.com/newburycomics,https://twitter.com/newburycomics,undefined
